,0
Dollar General,4.4636871508379885
O'Reilly Auto Parts,4.368715083798882
Equinix,4.206703910614525
Cintas,4.1722222222222225
Moderna,4.106145251396648
Otis Worldwide,4.100558659217877
Monolithic Power Systems,4.094972067039106
Molson Coors Beverage Company,4.06145251396648
Agilent Technologies,4.022222222222222
Skyworks Solutions,3.988826815642458
Expedia Group,3.9664804469273744
"Tapestry, Inc.",3.9497206703910615
State Street Corporation,3.9441340782122905
Emerson Electric,3.9329608938547485
Willis Towers Watson,3.810055865921788
NVR,3.782122905027933
Visa Inc.,3.7374301675977653
Simon Property Group,3.636871508379888
Vici Properties,3.631284916201117
Advance Auto Parts,3.588888888888889
Gartner,3.5865921787709496
Rockwell Automation,3.553072625698324
Norwegian Cruise Line Holdings,3.435754189944134
ExxonMobil,3.435754189944134
Targa Resources,3.4245810055865924
J.B. Hunt,3.4078212290502794
UDR,3.3910614525139664
Jack Henry & Associates,3.368715083798883
Marathon Petroleum,3.2625698324022347
Omnicom Group,3.184357541899441
BlackRock,3.1444444444444444
Centene Corporation,3.1166666666666667
AES Corporation,3.1
LyondellBasell,3.0670391061452515
Jacobs Solutions,3.0335195530726256
United Parcel Service,3.016759776536313
AbbVie,2.9722222222222223
Organon & Co.,2.88268156424581
Zions Bancorporation,2.8324022346368714
Expeditors International,2.7318435754189943
CBRE Group,2.672222222222222
Eli Lilly and Company,2.642458100558659
Illumina,2.636871508379888
Halliburton,2.631284916201117
Marathon Oil,2.6033519553072626
Prudential Financial,2.5810055865921786
T. Rowe Price,2.5754189944134076
Norfolk Southern Railway,2.536312849162011
Pfizer,2.536312849162011
Nordson Corporation,2.53072625698324
Las Vegas Sands,2.5027932960893855
Gilead Sciences,2.4972067039106145
Air Products and Chemicals,2.4833333333333334
Motorola Solutions,2.4022346368715084
Wynn Resorts,2.4022346368715084
T-Mobile US,2.3854748603351954
Vulcan Materials Company,2.374301675977654
Parker Hannifin,2.368715083798883
Fifth Third Bank,2.335195530726257
Broadridge Financial Solutions,2.2944444444444443
ADM,2.283333333333333
Devon Energy,2.2793296089385473
Linde plc,2.2569832402234637
Mettler Toledo,2.2346368715083798
Intuitive Surgical,2.195530726256983
Becton Dickinson,2.1944444444444446
J.M. Smucker Company,2.1731843575418996
Sealed Air,2.1675977653631286
Whirlpool Corporation,2.1620111731843576
Digital Realty,2.100558659217877
Williams Companies,2.0391061452513966
Dentsply Sirona,2.0391061452513966
Coca-Cola Company,2.0388888888888888
Fortive,2.0279329608938546
Yum! Brands,2.0279329608938546
Medtronic,2.022346368715084
Nasdaq,1.9329608938547487
Constellation Brands,1.9111111111111112
DXC Technology,1.8770949720670391
CSX,1.8547486033519553
CME Group,1.85
MGM Resorts,1.8435754189944134
MarketAxess,1.8379888268156424
Valero Energy,1.8156424581005586
Universal Health Services,1.8044692737430168
Fox Corporation,1.8044692737430168
Meta Platforms,1.7988826815642458
Constellation Energy,1.7944444444444445
Genuine Parts Company,1.7318435754189945
CMS Energy,1.6444444444444444
CVS Health,1.6368715083798884
Ameren,1.6222222222222222
FMC Corporation,1.6033519553072626
EPAM Systems,1.553072625698324
Alphabet,1.538888888888889
Fleetcor,1.5363128491620113
Progressive Corporation,1.5307262569832403
Regency Centers,1.4972067039106145
Paramount Global,1.4860335195530727
PepsiCo,1.4748603351955307
Chipotle Mexican Grill,1.4722222222222223
HCA Healthcare,1.452513966480447
Take-Two Interactive,1.441340782122905
FactSet,1.4357541899441342
Qorvo,1.3743016759776536
Tyson Foods,1.3687150837988826
Realty Income,1.3575418994413408
Mosaic Company (The),1.3575418994413408
Monster Beverage,1.3575418994413408
BNY Mellon,1.2277777777777779
Regions Financial Corporation,1.223463687150838
International Flavors & Fragrances,1.217877094972067
Pentair,1.2067039106145252
Hologic,1.1899441340782122
Quanta Services,1.1508379888268156
Diamondback Energy,1.1284916201117319
McKesson,1.1284916201117319
W. W. Grainger,1.1229050279329609
Interpublic Group of Companies,1.111731843575419
Waste Management,1.094972067039106
Baxter International,1.0722222222222222
Revvity,1.0502793296089385
Ingersoll Rand,1.0391061452513966
EOG Resources,1.0391061452513966
Ross Stores,1.0335195530726258
Marriott International,1.0335195530726258
PulteGroup,0.9720670391061452
Corning,0.9441340782122905
Masco,0.9217877094972067
Moody's Corporation,0.9106145251396648
Public Service Enterprise Group,0.88268156424581
Lockheed Martin,0.8491620111731844
Packaging Corporation of America,0.8268156424581006
S&P Global,0.8156424581005587
Roper Technologies,0.7988826815642458
SolarEdge,0.7877094972067039
Dominion Energy,0.7821229050279329
Sempra Energy,0.7486033519553073
Atmos Energy,0.7277777777777777
Raytheon Technologies,0.7206703910614525
Eaton Corporation,0.7206703910614525
Delta Air Lines,0.7094972067039106
BorgWarner,0.7055555555555556
Marsh McLennan,0.6927374301675978
Consolidated Edison,0.6777777777777778
Merck & Co.,0.6536312849162011
American Tower,0.6388888888888888
CooperCompanies,0.6222222222222222
Chevron Corporation,0.6166666666666667
United Airlines Holdings,0.6145251396648045
Hormel Foods,0.5977653631284916
Match Group,0.5865921787709497
Church & Dwight,0.5833333333333334
Seagate Technology,0.5754189944134078
